contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120P01575000,2021-12-13 19:43:52+00:00,1575.0,20.68,13.1,22.9,0.0,0.0,10,10,0.3891738939666748,False,REGULAR,USD
GOOGL230120P01580000,2021-12-02 19:23:42+00:00,1580.0,24.84,14.5,23.0,0.0,0.0,14,7,0.3878235046386719,False,REGULAR,USD
GOOGL230120P01585000,2021-12-15 20:03:31+00:00,1585.0,23.0,13.6,23.4,0.0,0.0,1,6,0.3875946250915527,False,REGULAR,USD
GOOGL230120P01590000,2021-12-03 14:43:11+00:00,1590.0,25.54,15.0,23.5,0.0,0.0,6,20,0.38625186508178705,False,REGULAR,USD
GOOGL230120P01600000,2021-12-30 14:31:19+00:00,1600.0,19.38,14.0,23.8,0.0,0.0,13,154,0.3839172937011719,False,REGULAR,USD
GOOGL230120P01610000,2021-12-23 19:16:13+00:00,1610.0,21.28,15.0,24.5,0.0,0.0,8,42,0.38301703414916993,False,REGULAR,USD
GOOGL230120P01620000,2021-12-23 19:31:58+00:00,1620.0,21.73,15.5,25.0,0.0,0.0,2,58,0.3813614720916747,False,REGULAR,USD
GOOGL230120P01630000,2021-12-17 20:11:42+00:00,1630.0,27.38,16.0,25.5,0.0,0.0,6,45,0.379690651397705,False,REGULAR,USD
GOOGL230120P01640000,2021-12-02 17:50:09+00:00,1640.0,29.85,17.5,26.5,0.0,0.0,6,58,0.3796753927612304,False,REGULAR,USD
GOOGL230120P01650000,2021-12-07 19:41:54+00:00,1650.0,26.67,17.0,26.8,0.0,0.0,3,43,0.37727215751647947,False,REGULAR,USD
GOOGL230120P01660000,2021-12-07 17:42:15+00:00,1660.0,27.23,17.6,27.4,0.0,0.0,3,34,0.3758454750061035,False,REGULAR,USD
GOOGL230120P01670000,2021-12-02 19:10:34+00:00,1670.0,31.78,19.5,28.0,0.0,0.0,6,27,0.3743882752227783,False,REGULAR,USD
GOOGL230120P01680000,2021-12-02 19:23:42+00:00,1680.0,32.64,20.0,28.5,0.0,0.0,6,19,0.3725877561187745,False,REGULAR,USD
GOOGL230120P01690000,2022-01-03 17:36:00+00:00,1690.0,25.1,19.6,29.0,-4.799999,-16.053509,4,8,0.3707719783782959,False,REGULAR,USD
GOOGL230120P01700000,2021-12-27 14:50:35+00:00,1700.0,26.0,20.0,29.8,0.0,0.0,1,60,0.36984883087158205,False,REGULAR,USD
GOOGL230120P01720000,2021-11-29 19:59:20+00:00,1720.0,32.25,21.9,29.0,0.0,0.0,12,22,0.36073942489624017,False,REGULAR,USD
GOOGL230120P01740000,2021-12-03 14:58:36+00:00,1740.0,36.79,24.0,32.5,0.0,0.0,1,15,0.3643099458312989,False,REGULAR,USD
GOOGL230120P01750000,2021-11-29 19:21:31+00:00,1750.0,34.89,24.0,31.5,0.0,0.0,6,25,0.35813782737731936,False,REGULAR,USD
GOOGL230120P01760000,2021-12-28 14:44:59+00:00,1760.0,29.3,24.5,33.8,0.0,0.0,1,10,0.361235330581665,False,REGULAR,USD
GOOGL230120P01780000,2021-10-25 14:18:33+00:00,1780.0,49.5,40.5,50.0,0.0,0.0,1,10,0.394548748664856,False,REGULAR,USD
GOOGL230120P01800000,2021-12-16 16:45:15+00:00,1800.0,37.5,27.5,35.9,0.0,0.0,2,74,0.35350683120727533,False,REGULAR,USD
GOOGL230120P01820000,2021-12-31 20:30:18+00:00,1820.0,34.15,28.7,38.4,0.0,0.0,10,13,0.3532016584777831,False,REGULAR,USD
GOOGL230120P01840000,2021-11-10 11:53:36+00:00,1840.0,68.39,33.5,42.4,0.0,0.0,5,18,0.3561542046356201,False,REGULAR,USD
GOOGL230120P01850000,2022-01-03 16:33:02+00:00,1850.0,36.8,31.5,41.0,-21.830002,-37.2335,6,84,0.34951288311004636,False,REGULAR,USD
GOOGL230120P01860000,2021-12-28 14:45:39+00:00,1860.0,37.5,32.5,41.9,0.0,0.0,1,6,0.3482960068511963,False,REGULAR,USD
GOOGL230120P01880000,2021-11-18 17:46:54+00:00,1880.0,37.13,48.0,57.0,0.0,0.0,1,18,0.37408310249328613,False,REGULAR,USD
GOOGL230120P01900000,2022-01-03 16:38:38+00:00,1900.0,41.7,36.5,45.5,0.29999924,0.72463584,2,564,0.34311569976806633,False,REGULAR,USD
GOOGL230120P01920000,2021-11-10 11:53:36+00:00,1920.0,80.0,41.0,50.3,0.0,0.0,5,57,0.3466290008163451,False,REGULAR,USD
GOOGL230120P01940000,2021-11-08 18:57:00+00:00,1940.0,51.93,43.5,53.5,0.0,0.0,1,74,0.3463810479736328,False,REGULAR,USD
