contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120C01750000,2021-11-10 11:53:22+00:00,1750.0,1054.7,1246.5,1264.5,0.0,0.0,2.0,41,0.515915943183899,True,REGULAR,USD
GOOGL230120C01760000,2021-12-16 15:01:13+00:00,1760.0,1210.0,1178.0,1197.5,0.0,0.0,6.0,35,0.41856202781677243,True,REGULAR,USD
GOOGL230120C01780000,2021-11-16 17:07:26+00:00,1780.0,1225.0,1168.5,1185.1,0.0,0.0,1.0,34,0.4271183082199097,True,REGULAR,USD
GOOGL230120C01800000,2021-12-08 15:24:40+00:00,1800.0,1201.79,1141.5,1161.0,0.0,0.0,6.0,67,0.41113107185363773,True,REGULAR,USD
GOOGL230120C01820000,2021-12-23 14:54:36+00:00,1820.0,1178.55,1123.0,1142.5,0.0,0.0,2.0,35,0.40681287773132324,True,REGULAR,USD
GOOGL230120C01840000,2021-12-23 19:13:16+00:00,1840.0,1165.3,1105.0,1124.5,0.0,0.0,17.0,26,0.4034521630477906,True,REGULAR,USD
GOOGL230120C01850000,2021-12-23 19:12:26+00:00,1850.0,1160.4,1096.0,1115.5,0.0,0.0,15.0,49,0.40174319576263423,True,REGULAR,USD
GOOGL230120C01860000,2021-11-30 18:53:35+00:00,1860.0,1060.5,1111.5,1129.5,0.0,0.0,1.0,11,0.44220337770462037,True,REGULAR,USD
GOOGL230120C01880000,2021-11-10 11:53:22+00:00,1880.0,559.0,1129.0,1147.0,0.0,0.0,1.0,10,0.49562004934310916,True,REGULAR,USD
GOOGL230120C01900000,2021-12-20 15:00:14+00:00,1900.0,977.0,1051.0,1070.5,0.0,0.0,1.0,83,0.39291988922119137,True,REGULAR,USD
GOOGL230120C01920000,2021-11-10 11:53:22+00:00,1920.0,624.0,1093.0,1111.0,0.0,0.0,1.0,22,0.484742548866272,True,REGULAR,USD
GOOGL230120C01940000,2021-11-10 11:53:22+00:00,1940.0,404.9,1075.5,1093.5,0.0,0.0,2.0,12,0.48003907417297365,True,REGULAR,USD
GOOGL230120C01950000,2021-11-10 11:53:22+00:00,1950.0,935.41,1067.0,1085.0,0.0,0.0,5.0,44,0.4780440074539185,True,REGULAR,USD
GOOGL230120C01960000,2021-12-23 17:11:21+00:00,1960.0,1073.4,998.0,1017.0,0.0,0.0,2.0,24,0.3826431975555419,True,REGULAR,USD
GOOGL230120C01980000,2021-12-22 19:36:59+00:00,1980.0,1018.74,980.0,999.5,0.0,0.0,5.0,34,0.37963343151092527,True,REGULAR,USD
GOOGL230120C02000000,2022-01-03 20:38:39+00:00,2000.0,979.8,962.5,982.0,-11.200012,-1.1301728,7.0,439,0.37652829898834234,True,REGULAR,USD
GOOGL230120C02050000,2021-12-22 14:38:01+00:00,2050.0,926.2,919.0,938.5,0.0,0.0,4.0,75,0.36878835563659673,True,REGULAR,USD
GOOGL230120C02100000,2021-12-28 15:35:15+00:00,2100.0,939.0,876.5,896.0,0.0,0.0,3.0,133,0.3619887257575989,True,REGULAR,USD
GOOGL230120C02150000,2021-12-28 15:50:28+00:00,2150.0,893.8,834.5,854.0,0.0,0.0,1.0,49,0.35525966707229606,True,REGULAR,USD
GOOGL230120C02200000,2022-01-03 20:53:08+00:00,2200.0,790.5,793.0,812.0,-26.549988,-3.2494936,1.0,206,0.34789546764373774,True,REGULAR,USD
GOOGL230120C02250000,2022-01-03 14:47:22+00:00,2250.0,771.0,752.5,771.4,12.0,1.5810277,1.0,47,0.34172334918975833,True,REGULAR,USD
GOOGL230120C02300000,2022-01-03 20:23:21+00:00,2300.0,728.0,712.5,731.5,-5.0,-0.6821282,2.0,512,0.3357019097709656,True,REGULAR,USD
GOOGL230120C02350000,2021-12-30 17:52:50+00:00,2350.0,724.0,673.5,693.5,0.0,0.0,1.0,127,0.3311624654197693,True,REGULAR,USD
GOOGL230120C02400000,2021-12-31 19:50:07+00:00,2400.0,655.2,636.0,655.0,0.0,0.0,6.0,392,0.3252325778198242,True,REGULAR,USD
GOOGL230120C02450000,2021-12-22 14:48:50+00:00,2450.0,619.6,599.0,618.0,0.0,0.0,2.0,25,0.3201648031806945,True,REGULAR,USD
GOOGL230120C02500000,2022-01-03 19:25:03+00:00,2500.0,578.6,563.5,582.0,-1.4000244,-0.24138351,6.0,371,0.3153220934295653,True,REGULAR,USD
GOOGL230120C02550000,2021-12-30 20:30:25+00:00,2550.0,578.4,529.0,547.5,0.0,0.0,3.0,100,0.3111393197059631,True,REGULAR,USD
GOOGL230120C02600000,2021-12-31 20:18:59+00:00,2600.0,515.0,495.0,514.0,0.0,0.0,4.0,700,0.3070480978012084,True,REGULAR,USD
GOOGL230120C02650000,2021-12-31 17:35:21+00:00,2650.0,481.0,463.0,481.5,-4.5,-0.9268795,1.0,38,0.30301218845367434,True,REGULAR,USD
GOOGL230120C02700000,2022-01-03 19:25:03+00:00,2700.0,447.71,432.0,450.5,-26.779999,-5.6439543,7.0,618,0.29945883348464963,True,REGULAR,USD
GOOGL230120C02750000,2021-12-27 16:05:49+00:00,2750.0,415.79,402.5,420.5,-62.98999,-13.156355,1.0,72,0.295888312549591,True,REGULAR,USD
GOOGL230120C02800000,2022-01-03 15:05:01+00:00,2800.0,383.0,374.0,392.5,-7.0,-1.7948719,3.0,186,0.29315892395019527,True,REGULAR,USD
GOOGL230120C02850000,2022-01-03 16:12:20+00:00,2850.0,360.0,347.0,365.0,-4.0,-1.0989012,2.0,166,0.28992218568801875,True,REGULAR,USD
GOOGL230120C02900000,2022-01-03 20:10:31+00:00,2900.0,337.1,321.0,339.0,-6.6600037,-1.9373993,15.0,239,0.2870459327125549,False,REGULAR,USD
GOOGL230120C02950000,2022-01-03 19:42:14+00:00,2950.0,313.1,296.6,314.9,-2.899994,-0.9177196,4.0,216,0.2848467817306518,False,REGULAR,USD
GOOGL230120C03000000,2022-01-03 19:44:50+00:00,3000.0,293.0,273.5,291.5,3.0,1.0344827,7.0,374,0.28230431142807005,False,REGULAR,USD
GOOGL230120C03050000,2021-12-31 20:28:53+00:00,3050.0,260.0,251.6,269.9,-13.149994,-4.8142023,1.0,84,0.28035311328887935,False,REGULAR,USD
GOOGL230120C03100000,2021-12-31 20:16:37+00:00,3100.0,248.7,230.5,249.5,0.0,0.0,1.0,102,0.2784944206333161,False,REGULAR,USD
GOOGL230120C03150000,2021-12-31 17:03:37+00:00,3150.0,234.67,211.5,230.5,0.0,0.0,1.0,47,0.2769141980934143,False,REGULAR,USD
GOOGL230120C03200000,2022-01-03 18:22:09+00:00,3200.0,211.47,199.2,211.5,-17.649994,-7.703384,2.0,199,0.2744289476776123,False,REGULAR,USD
GOOGL230120C03250000,2021-12-30 20:50:47+00:00,3250.0,206.35,178.5,194.5,0.0,0.0,7.0,53,0.2727752929496764,False,REGULAR,USD
GOOGL230120C03300000,2022-01-03 20:06:50+00:00,3300.0,175.3,163.0,179.0,-8.050003,-4.3905115,10.0,317,0.271562231349945,False,REGULAR,USD
GOOGL230120C03350000,2021-12-31 19:53:15+00:00,3350.0,165.4,150.0,164.5,0.0,0.0,1.0,74,0.2703911310005188,False,REGULAR,USD
GOOGL230120C03400000,2022-01-03 20:19:10+00:00,3400.0,147.6,135.0,150.5,-15.099991,-9.28088,7.0,265,0.2688290280914306,False,REGULAR,USD
GOOGL230120C03450000,2021-12-31 16:29:50+00:00,3450.0,142.18,123.0,139.0,0.0,0.0,2.0,53,0.2687889741706848,False,REGULAR,USD
GOOGL230120C03500000,2022-01-03 20:13:15+00:00,3500.0,122.75,111.5,124.6,-0.73999786,-0.5992371,43.0,524,0.2651288087463379,False,REGULAR,USD
GOOGL230120C03550000,2022-01-03 16:19:12+00:00,3550.0,110.0,101.5,117.5,-17.5,-13.725491,1.0,86,0.2678887146186829,False,REGULAR,USD
GOOGL230120C03600000,2022-01-03 15:26:32+00:00,3600.0,99.3,95.0,105.0,-7.5,-7.022472,2.0,210,0.2644440774345397,False,REGULAR,USD
GOOGL230120C03700000,2021-12-31 17:23:50+00:00,3700.0,88.45,78.5,88.0,0.0,0.0,90.0,125,0.26360485242843634,False,REGULAR,USD
GOOGL230120C03800000,2021-12-31 18:56:46+00:00,3800.0,75.1,64.5,74.5,0.0,0.0,1.0,82,0.2640568895339966,False,REGULAR,USD
GOOGL230120C03900000,2021-12-31 19:17:32+00:00,3900.0,61.25,53.0,63.0,0.0,0.0,1.0,245,0.26453372192382807,False,REGULAR,USD
GOOGL230120C04000000,2022-01-03 16:48:15+00:00,4000.0,48.46,43.5,53.5,-2.790001,-5.4439044,2.0,380,0.2654301668167114,False,REGULAR,USD
GOOGL230120C04100000,2021-12-28 18:35:04+00:00,4100.0,42.45,36.0,45.5,-6.549999,-13.367346,2.0,172,0.2664448661422729,False,REGULAR,USD
GOOGL230120C04200000,2022-01-03 20:13:15+00:00,4200.0,35.9,29.5,39.0,-0.19999695,-0.5540082,57.0,499,0.26797835910797113,False,REGULAR,USD
GOOGL230120C04300000,2022-01-03 20:12:17+00:00,4300.0,28.8,24.0,32.5,-5.4000015,-15.789477,2.0,192,0.26761596649169916,False,REGULAR,USD
GOOGL230120C04400000,2021-12-31 20:15:24+00:00,4400.0,25.55,23.0,28.2,-0.45000076,-1.7307721,3.0,188,0.2698132101440429,False,REGULAR,USD
GOOGL230120C04500000,2022-01-03 20:08:01+00:00,4500.0,19.38,18.0,21.6,-3.5600014,-15.51875,65.0,742,0.2648160066986084,False,REGULAR,USD
