Date,Open,High,Low,Close,Adj Close,Volume
2017-12-27,4.530000,4.630000,4.400000,4.480000,4.480000,276800
2017-12-28,4.480000,4.590000,4.280000,4.490000,4.490000,407900
2017-12-29,4.480000,4.780000,4.400000,4.450000,4.450000,487600
2018-01-02,4.490000,4.870000,4.450000,4.810000,4.810000,424000
2018-01-03,4.840000,4.953000,4.640000,4.660000,4.660000,318400
2018-01-04,4.680000,4.880000,4.620000,4.830000,4.830000,258700
2018-01-05,4.840000,4.960000,4.750000,4.870000,4.870000,200600
2018-01-08,4.870000,4.890000,4.660000,4.850000,4.850000,223900
2018-01-09,4.850000,5.020000,4.850000,4.860000,4.860000,195900
2018-01-10,4.860000,4.890000,4.690000,4.820000,4.820000,212600
2018-01-11,4.830000,4.960000,4.720000,4.910000,4.910000,176800
2018-01-12,4.920000,5.740000,4.911000,5.600000,5.600000,985000
2018-01-16,5.650000,5.870000,5.280000,5.300000,5.300000,596400
2018-01-17,5.360000,5.580000,5.210000,5.560000,5.560000,321800
2018-01-18,5.610000,5.610000,5.331000,5.540000,5.540000,152400
2018-01-19,5.950000,6.500000,5.750000,6.230000,6.230000,1443100
2018-01-22,6.360000,6.640000,6.200000,6.480000,6.480000,684400
2018-01-23,6.420000,6.500000,6.100000,6.240000,6.240000,787800
2018-01-24,6.200000,6.440000,6.140000,6.190000,6.190000,419900
2018-01-25,5.400000,5.500000,5.130000,5.310000,5.310000,3282200
2018-01-26,5.320000,5.390000,5.145000,5.210000,5.210000,470400
2018-01-29,5.200000,5.820000,5.111000,5.570000,5.570000,902500
2018-01-30,5.570000,5.940000,5.400000,5.890000,5.890000,539000
2018-01-31,5.870000,5.950000,5.380000,5.470000,5.470000,638500
2018-02-01,5.490000,5.680000,5.392000,5.480000,5.480000,360300
2018-02-02,5.420000,5.510000,5.160000,5.180000,5.180000,675500
2018-02-05,5.110000,5.280000,4.940000,5.010000,5.010000,562500
2018-02-06,5.000000,5.450000,4.990000,5.170000,5.170000,637100
2018-02-07,5.180000,5.260000,5.030000,5.180000,5.180000,429100
2018-02-08,5.220000,5.290000,4.950000,5.030000,5.030000,441600
2018-02-09,5.110000,5.150000,4.760000,5.030000,5.030000,557400
2018-02-12,5.000000,5.190000,4.840000,5.000000,5.000000,479600
2018-02-13,5.020000,5.080000,4.850000,5.050000,5.050000,419200
2018-02-14,4.980000,5.140000,4.900000,4.940000,4.940000,372300
2018-02-15,4.960000,5.055000,4.820000,4.950000,4.950000,243700
2018-02-16,4.920000,5.080000,4.870000,4.910000,4.910000,304500
2018-02-20,4.840000,4.990000,4.760000,4.790000,4.790000,277400
2018-02-21,4.820000,5.139000,4.800000,5.070000,5.070000,429700
2018-02-22,5.100000,5.390000,4.850000,4.870000,4.870000,508700
2018-02-23,4.910000,5.080000,4.840000,5.040000,5.040000,225800
2018-02-26,5.100000,5.200000,5.000000,5.190000,5.190000,167500
2018-02-27,5.200000,5.370000,5.030000,5.270000,5.270000,255100
2018-02-28,5.260000,5.320000,5.170000,5.230000,5.230000,254600
2018-03-01,5.240000,5.570000,5.170000,5.510000,5.510000,393200
2018-03-02,5.430000,6.100000,5.428000,6.000000,6.000000,905400
2018-03-05,6.000000,6.200000,5.700000,5.760000,5.760000,498600
2018-03-06,5.810000,5.930000,5.620000,5.900000,5.900000,233200
2018-03-07,5.840000,6.000000,5.789000,5.950000,5.950000,265900
2018-03-08,5.950000,6.390000,5.569000,5.860000,5.860000,810800
2018-03-09,5.880000,6.080000,5.760000,5.900000,5.900000,354000
2018-03-12,6.040000,6.390000,5.885000,6.370000,6.370000,551500
2018-03-13,6.380000,6.483000,6.270000,6.330000,6.330000,322500
2018-03-14,6.370000,6.465000,6.130000,6.240000,6.240000,298000
2018-03-15,6.270000,6.460000,6.220000,6.440000,6.440000,365400
2018-03-16,6.460000,7.390000,6.460000,7.080000,7.080000,1857700
2018-03-19,7.150000,7.150000,6.700000,6.860000,6.860000,677300
2018-03-20,6.820000,6.880000,6.530000,6.610000,6.610000,386400
2018-03-21,6.660000,7.040000,6.660000,7.040000,7.040000,476700
2018-03-22,7.000000,7.190000,6.880000,6.990000,6.990000,471600
2018-03-23,6.960000,6.960000,6.654000,6.740000,6.740000,355300
2018-03-26,6.850000,6.890000,6.460000,6.740000,6.740000,345200
2018-03-27,6.760000,6.760000,6.305000,6.330000,6.330000,362100
2018-03-28,6.340000,6.640000,6.310000,6.570000,6.570000,215200
2018-03-29,6.590000,6.678000,6.470000,6.510000,6.510000,258200
2018-04-02,6.390000,6.500000,6.330000,6.440000,6.440000,290400
2018-04-03,6.450000,6.630000,6.410000,6.490000,6.490000,245100
2018-04-04,6.530000,6.750000,6.370000,6.640000,6.640000,379000
2018-04-05,6.740000,6.740000,6.380000,6.470000,6.470000,192900
2018-04-06,6.410000,6.430000,5.930000,6.110000,6.110000,442700
2018-04-09,6.160000,6.210000,5.971000,5.990000,5.990000,249500
2018-04-10,6.130000,6.380000,6.009000,6.330000,6.330000,218000
2018-04-11,6.270000,6.730000,6.270000,6.440000,6.440000,264000
2018-04-12,6.510000,6.560000,6.410000,6.500000,6.500000,187200
2018-04-13,6.500000,6.650000,6.420000,6.480000,6.480000,139000
2018-04-16,6.520000,6.630000,6.370000,6.390000,6.390000,158200
2018-04-17,6.430000,6.510000,6.310000,6.390000,6.390000,203800
2018-04-18,6.410000,6.465000,6.260000,6.370000,6.370000,176000
2018-04-19,6.350000,6.490000,6.320000,6.480000,6.480000,136700
2018-04-20,6.440000,6.520000,6.400000,6.450000,6.450000,83800
2018-04-23,6.440000,6.510000,6.290000,6.380000,6.380000,137200
2018-04-24,6.400000,6.490000,6.270000,6.310000,6.310000,169400
2018-04-25,6.280000,6.350000,6.050000,6.290000,6.290000,131200
2018-04-26,6.300000,6.490000,6.250000,6.450000,6.450000,212600
2018-04-27,6.470000,6.720000,6.371000,6.490000,6.490000,227300
2018-04-30,6.500000,6.550000,6.180000,6.290000,6.290000,180900
2018-05-01,6.260000,6.530000,6.129000,6.460000,6.460000,235300
2018-05-02,6.430000,6.700000,6.420000,6.580000,6.580000,236800
2018-05-03,6.600000,6.639000,6.260000,6.280000,6.280000,208800
2018-05-04,6.280000,6.540000,6.230000,6.450000,6.450000,213000
2018-05-07,6.440000,6.760000,6.360000,6.710000,6.710000,204600
2018-05-08,6.740000,6.830000,6.600000,6.730000,6.730000,197700
2018-05-09,6.250000,6.820000,6.250000,6.730000,6.730000,421400
2018-05-10,6.780000,7.140000,6.700000,6.930000,6.930000,428200
2018-05-11,6.920000,7.190000,6.900000,7.140000,7.140000,404100
2018-05-14,7.230000,7.320000,6.720000,6.820000,6.820000,343400
2018-05-15,6.820000,6.920000,6.510000,6.840000,6.840000,287400
2018-05-16,6.840000,7.060000,6.820000,6.920000,6.920000,245200
2018-05-17,6.940000,7.030000,6.820000,6.920000,6.920000,298700
2018-05-18,6.940000,7.000000,6.800000,6.930000,6.930000,244100
2018-05-21,6.940000,6.952000,6.810000,6.890000,6.890000,200700
2018-05-22,6.890000,6.970000,6.760000,6.820000,6.820000,277000
2018-05-23,6.820000,6.900000,6.550000,6.630000,6.630000,308500
2018-05-24,6.670000,6.840000,6.611000,6.780000,6.780000,226700
2018-05-25,6.780000,6.815000,6.680000,6.700000,6.700000,176500
2018-05-29,6.690000,6.750000,6.570000,6.730000,6.730000,248400
2018-05-30,6.740000,6.839000,6.700000,6.720000,6.720000,272400
2018-05-31,6.670000,6.820000,6.658000,6.770000,6.770000,293800
2018-06-01,6.810000,6.825000,6.750000,6.810000,6.810000,248300
2018-06-04,6.810000,6.810000,6.580000,6.770000,6.770000,206500
2018-06-05,6.740000,6.900000,6.690000,6.860000,6.860000,289200
2018-06-06,7.000000,7.360000,7.000000,7.150000,7.150000,897500
2018-06-07,7.160000,7.390000,7.100000,7.230000,7.230000,510000
